dia,franja,tipo,uso_armas,barrio
Miércoles,17,Lesiones por siniestro vial,,Villa Crespo
Miércoles,19,Lesiones por siniestro vial,,Versalles
Miércoles,20,Lesiones por siniestro vial,,Recoleta
Miércoles,23,Lesiones por siniestro vial,,Almagro
Jueves,1,Lesiones por siniestro vial,,Villa Urquiza
Jueves,5,Lesiones por siniestro vial,,Caballito
Jueves,10,Lesiones por siniestro vial,,Balvanera
Viernes,16,Lesiones por siniestro vial,,Caballito
Jueves,12,Lesiones por siniestro vial,,Flores
Lunes,8,Lesiones por siniestro vial,,Constitución
Jueves,12,Lesiones por siniestro vial,,Floresta
Jueves,12,Lesiones por siniestro vial,,Flores
Jueves,12,Lesiones por siniestro vial,,Balvanera
Jueves,13,Lesiones por siniestro vial,,
Jueves,12,Lesiones por siniestro vial,,
Jueves,14,Lesiones por siniestro vial,,Mataderos
Jueves,14,Lesiones por siniestro vial,,Palermo
Jueves,15,Lesiones por siniestro vial,,Villa Riachuelo
Jueves,15,Lesiones por siniestro vial,,Recoleta
Jueves,17,Lesiones por siniestro vial,,Villa Del Parque
Jueves,19,Lesiones por siniestro vial,,Parque Avellaneda
Jueves,16,Lesiones por siniestro vial,,Chacarita
Jueves,19,Lesiones por siniestro vial,,Vélez Sársfield
Jueves,18,Lesiones por siniestro vial,,Palermo
Jueves,19,Lesiones por siniestro vial,,Constitución
Jueves,18,Lesiones por siniestro vial,,Colegiales
Jueves,18,Lesiones por siniestro vial,,San Telmo
Jueves,21,Lesiones por siniestro vial,,Almagro
Jueves,23,Lesiones por siniestro vial,,Liniers
Viernes,4,Lesiones por siniestro vial,,Parque Chas
Viernes,10,Lesiones por siniestro vial,,Palermo
Viernes,8,Lesiones por siniestro vial,,Caballito
Viernes,10,Lesiones por siniestro vial,,Palermo
Viernes,11,Lesiones por siniestro vial,,Villa Soldati
Viernes,9,Lesiones por siniestro vial,,San Cristóbal
Viernes,9,Lesiones por siniestro vial,,Monserrat
Viernes,12,Lesiones por siniestro vial,,Villa Santa Rita
Viernes,14,Lesiones por siniestro vial,,San Telmo
Viernes,14,Lesiones por siniestro vial,,Barracas
Viernes,16,Lesiones por siniestro vial,,Almagro
Viernes,10,Lesiones por siniestro vial,,Constitución
Viernes,17,Lesiones por siniestro vial,,Palermo
Viernes,14,Lesiones por siniestro vial,,Recoleta
Viernes,18,Lesiones por siniestro vial,,Villa Gral. Mitre
Viernes,17,Lesiones por siniestro vial,,Balvanera
Viernes,19,Lesiones por siniestro vial,,Villa Ortuzar
Viernes,17,Lesiones por siniestro vial,,Almagro
Viernes,18,Lesiones por siniestro vial,,Villa Crespo
Jueves,18,Lesiones por siniestro vial,,Palermo
Viernes,19,Lesiones por siniestro vial,,Parque Avellaneda
Viernes,20,Lesiones por siniestro vial,,Palermo
Sábado,8,Lesiones por siniestro vial,,Villa Soldati
Lunes,12,Lesiones por siniestro vial,,Recoleta
Sábado,8,Lesiones por siniestro vial,,Nueva Pompeya
Sábado,8,Lesiones por siniestro vial,,San Nicolás
Sábado,14,Lesiones por siniestro vial,,Saavedra
Sábado,15,Lesiones por siniestro vial,,Villa Devoto
Sábado,15,Lesiones por siniestro vial,,Palermo
Sábado,20,Lesiones por siniestro vial,,San Nicolás
Sábado,21,Lesiones por siniestro vial,,Liniers
Domingo,4,Lesiones por siniestro vial,,Saavedra
Domingo,13,Lesiones por siniestro vial,,Villa Lugano
Domingo,19,Lesiones por siniestro vial,,Villa Devoto
Domingo,19,Lesiones por siniestro vial,,Colegiales
Domingo,20,Lesiones por siniestro vial,,Balvanera
Domingo,19,Lesiones por siniestro vial,,Saavedra
Domingo,20,Lesiones por siniestro vial,,Colegiales
Domingo,20,Lesiones por siniestro vial,,Flores
Domingo,0,Lesiones por siniestro vial,,Boedo
Sábado,18,Lesiones por siniestro vial,,Villa Devoto
Domingo,22,Lesiones por siniestro vial,,Flores
Lunes,0,Lesiones por siniestro vial,,Flores
Lunes,0,Lesiones por siniestro vial,,Villa Devoto
Lunes,6,Lesiones por siniestro vial,,Constitución
Lunes,8,Lesiones por siniestro vial,,San Cristóbal
Lunes,8,Lesiones por siniestro vial,,Parque Chacabuco
Lunes,9,Lesiones por siniestro vial,,Liniers
Lunes,9,Lesiones por siniestro vial,,Villa Del Parque
Lunes,10,Lesiones por siniestro vial,,Liniers
Lunes,9,Lesiones por siniestro vial,,Parque Chacabuco
